Branch
BusNumFrom ,BusNumTo ,Circuit ,FaultCurMagAFrom ,FaultCurMagBFrom ,FaultCurMagCFrom ,FaultCurMagATo ,FaultCurMagBTo ,FaultCurMagCTo
1          ,2        ,1       ,0.26517          ,0.26517          ,0.26517          ,0.24568        ,0.24568        ,0.24568
1          ,3        ,1       ,1.35549          ,1.35549          ,1.35549          ,1.36367        ,1.36367        ,1.36367
2          ,3        ,1       ,1.87600          ,1.87600          ,1.87600          ,1.88278        ,1.88278        ,1.88278
2          ,4        ,1       ,1.26679          ,1.26679          ,1.26679          ,1.27560        ,1.27560        ,1.27560
2          ,5        ,1       ,0.36202          ,0.36202          ,0.36202          ,0.35371        ,0.35371        ,0.35371
2          ,6        ,1       ,1.52184          ,1.52184          ,1.52184          ,1.50218        ,1.50218        ,1.50218
3          ,4        ,1       ,3.66901          ,3.66901          ,3.66901          ,3.66791        ,3.66791        ,3.66791
4          ,5        ,1       ,1.04694          ,1.04694          ,1.04694          ,1.03509        ,1.03509        ,1.03509
7          ,5        ,1       ,1.51020          ,1.51020          ,1.51020          ,1.52607        ,1.52607        ,1.52607
6          ,7        ,1       ,0.17092          ,0.17092          ,0.17092          ,0.15235        ,0.15235        ,0.15235
6          ,7        ,2       ,0.17092          ,0.17092          ,0.17092          ,0.15235        ,0.15235        ,0.15235
