Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    282.008,   131.76,    34.7527,    19.56,     40.714,  -109.25,          0,     0.00,    249.165,   132.55,    282.008,   -48.24,    34.7527,  -160.44,     40.714,    70.75,          0,     0.00,    249.165,   -47.45
Transformer.TX1,    266.047,   -47.84,    19.1323,  -149.69,    21.5442,    79.80,    248.968,   131.78, 2.27686E-007,   108.76,    767.809,   132.23,     48.605,    35.31,    55.8613,   -96.52,    725.147,   -48.26, 2.03395E-005,   101.05
Line.LINE1,    282.008,   -48.24,    34.7527,  -160.44,     40.714,    70.75,          0,     0.00,    249.165,   -47.45,    282.013,   131.76,    34.7581,    19.55,    40.7198,  -109.25,          0,     0.00,    249.165,   132.55
Line.LINE2,    767.809,   -47.77,     48.605,  -144.69,    55.8613,    83.48,          0,     0.00,    725.148,   -48.26,     767.81,   132.23,    48.6064,    35.31,    55.8622,   -96.52,          0,     0.00,    725.147,   131.74
Fault.B3BALANCED,    767.809,   -47.77,          0,     0.00,          0,     0.00,          0,     0.00,    767.809,   -47.77,    767.809,   132.23,          0,     0.00,          0,     0.00,          0,     0.00,    767.809,   132.23
Load.LOAD1,    16.0846,   -55.01,    16.0846,   124.99,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD2,    16.3572,  -173.06,    16.3572,     6.94,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD3,    19.7369,    60.86,    19.7369,  -119.14,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD4,  0.0012279,   -76.76,  0.0012279,   103.24,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD5,    48.6073,  -144.69,    48.6073,    35.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD6,    55.8617,    83.48,    55.8617,   -96.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
