Element, Terminal,  I1, %Normal, %Emergency, I2, %I2/I1, I0, %I0/I1, Iresidual, %NEMA
"Vsource.SOURCE",   1,    119.056,        0,        0,    79.9501,    67.15,    83.0552,    69.76,    249.165,    136.7
"Vsource.SOURCE",   2,    119.056,        0,        0,    79.9501,    67.15,    83.0552,    69.76,    249.165,    136.7
"Transformer.TX1",   1,    101.903,      353,    258.9,    81.2345,    79.72,    82.9894,    81.44, 2.27686E-007,    160.2
"Transformer.TX1",   2,    289.277,        0,        0,     237.13,    81.97,    241.716,    83.56, 2.27686E-007,    164.1
"Line.LINE1",   1,    119.056,    29.76,    19.84,    79.9501,    67.15,    83.0552,    69.76,    249.165,    136.7
"Line.LINE1",   2,    119.062,        0,        0,      79.95,    67.15,    83.0552,    69.76,    249.165,    136.7
"Line.LINE2",   1,    289.277,    72.32,    48.21,     237.13,    81.97,    241.716,    83.56,    725.148,    164.1
"Line.LINE2",   2,    289.278,        0,        0,    237.129,    81.97,    241.716,    83.56,    725.148,    164.1
"Load.LOAD1",   1,          0,        0,        0,          0,        0,          0,        0,          0,        0
"Load.LOAD2",   1,          0,        0,        0,          0,        0,          0,        0,          0,        0
"Load.LOAD3",   1,          0,        0,        0,          0,        0,          0,        0,          0,        0
"Load.LOAD4",   1,          0,        0,        0,          0,        0,          0,        0,          0,        0
"Load.LOAD5",   1,          0,        0,        0,          0,        0,          0,        0,          0,        0
"Load.LOAD6",   1,          0,        0,        0,          0,        0,          0,        0,          0,        0
"Fault.B3BALANCED",   1,          0,        0,        0,          0,        0,          0,        0,    767.809,        0
"Fault.B3BALANCED",   2,          0,        0,        0,          0,        0,          0,        0,    767.809,        0
